课程名称,上课班级,周次,星期,开始节次,结束节次
形势与政策,18物联网1班/18物联网2班,8~9,1,7,8
大学英语,18物联网1班/18物联网2班,1~16,6,5,8
形势与政策,18计科1班/18计科2班/18计科3班/18计科4班,8~9,1,7,8
大学英语,18计科1班/18计科2班/18计科3班/18计科4班,1~16,6,5,8
形势与政策,19物联网1班/19物联网2班,6~7,1,7,8
大学英语,19物联网1班/19物联网2班,1~16,6,5,8
形势与政策,19计科1班/19计科2班/19计科3班/19计科4班,6~7,1,7,8
大学英语,19计科1班/19计科2班/19计科3班/19计科4班,1~16,6,5,8
毛泽东思想概论,19计科1班/19计科2班/19计科3班/19计科4班,1~16,2,3,4
毛泽东思想概论,19计科1班/19计科2班/19计科3班/19计科4班,9~16,5,3,4
大学体育,20物联网1班/20物联网2班,1~16,1,5,6
形势与政策,20物联网1班/20物联网2班,2~3,1,7,8
大学物理实验,20物联网1班/20物联网2班,1~18,2,1,4
大学英语,20物联网1班/20物联网2班,1~16,2,7,8
大学英语,20物联网1班/20物联网2班,1~16,5,3,4
马克思主义基本原理,20物联网1班/20物联网2班,1~18,5,7,8
大学体育,20计科1班/20计科2班/20计科3班/20计科4班,1~18,1,5,6
形势与政策,20计科1班/20计科2班/20计科3班/20计科4班,2~3,1,7,8
大学英语,20计科1班/20计科2班/20计科3班/20计科4班,1~16,2,7,8
大学英语,20计科1班/20计科2班/20计科3班/20计科4班,1~16,5,3,4
大学物理实验,20计科1班/20计科2班/20计科3班/20计科4班,1~18,4,1,4
马克思主义基本原理,20计科1班/20计科2班/20计科3班/20计科4班,1~18,5,7,8
大学体育,21计科1班/21计科2班/21计科3班/21计科4班,1~18,1,5,6
形势与政策,21计科1班/21计科2班/21计科3班/21计科4班,4~5,1,7,8
大学物理,21计科1班/21计科2班/21计科3班/21计科4班,1~13,2,1,2
大学物理,21计科1班/21计科2班/21计科3班/21计科4班,1~13,5,1,2
中国近代史,21计科1班/21计科2班/21计科3班/21计科4班,1~18,2,3,4
高等数学,21计科1班/21计科2班/21计科3班/21计科4班,1~16,2,5,6
高等数学,21计科1班/21计科2班/21计科3班/21计科4班,1~16,5,3,4
大学英语,21计科1班/21计科2班/21计科3班/21计科4班,1~16,4,3,4
大学英语,21计科1班/21计科2班/21计科3班/21计科4班,1~16,5,7,8
大学英语,21计科1班/21计科2班/21计科3班/21计科4班,1~16,6,1,4
大学英语,21计科1班/21计科2班/21计科3班/21计科4班,1~16,7,1,4
高等数学,21物联网1班/21物联网2班/21物联网3班/21物联网4班,1~16,1,3,4
高等数学,21物联网1班/21物联网2班/21物联网3班/21物联网4班,1~16,4,5,6
大学体育,21物联网1班/21物联网2班/21物联网3班/21物联网4班,1~16,1,5,6
形势与政策,21物联网1班/21物联网2班/21物联网3班/21物联网4班,4~5,1,7,8
大学物理,21物联网1班/21物联网2班/21物联网3班/21物联网4班,1~13,2,3,4
大学物理,21物联网1班/21物联网2班/21物联网3班/21物联网4班,1~13,5,3,4
大学英语,21物联网1班/21物联网2班/21物联网3班/21物联网4班,1~16,4,3,4
大学英语,21物联网1班/21物联网2班/21物联网3班/21物联网4班,1~16,5,7,8
大学英语,21物联网1班/21物联网2班/21物联网3班/21物联网4班,1~16,6,1,4
大学英语,21物联网1班/21物联网2班/21物联网3班/21物联网4班,1~16,7,1,4
形势与政策,18软工1班/18软工2班/18软工3班/18软工4班/18软工5班/18软工6班,8~9,1,9,10
大学英语,18软工1班/18软工2班/18软工3班/18软工4班/18软工5班/18软工6班,1~16,6,5,8
形势与政策,19软工1班/19软工2班/19软工3班/19软工4班/19软工5班/19软工6班,6~7,1,9,10
毛泽东思想概论,19软工1班/19软工2班/19软工3班/19软工4班/19软工5班/19软工6班,1~16,2,9,10
大学英语,19软工1班/19软工2班/19软工3班/19软工4班/19软工5班/19软工6班,1~16,6,5,8
中国近代史,20软工1班/20软工2班/20软工3班/20软工4班/20软工5班/20软工6班,1~18,1,5,6
形势与政策,20软工1班/20软工2班/20软工3班/20软工4班/20软工5班/20软工6班,2~3,1,9,10
大学英语,20软工1班/20软工2班/20软工3班/20软工4班/20软工5班/20软工6班,1~16,2,5,6
大学英语,20软工1班/20软工2班/20软工3班/20软工4班/20软工5班/20软工6班,1~16,5,1,2
大学英语,20软工1班/20软工2班/20软工3班/20软工4班/20软工5班/20软工6班,1~16,7,1,4
大学体育,20软工1班/20软工2班/20软工3班/20软工4班/20软工5班/20软工6班,1~16,2,7,8
大学物理实验,21软工4班/21软工5班/21软工6班,1~18,1,1,4
大学物理实验,21软工1班/21软工2班/21软工3班,1~18,1,5,8
形势与政策,21软工1班/21软工2班/21软工3班/21软工4班/21软工5班/21软工6班,4~5,1,9,10
高等数学,21软工1班/21软工2班/21软工3班,1~16,2,1,2
高等数学,21软工1班/21软工2班/21软工3班,1~16,4,5,6
高等数学,21软工4班/21软工5班/21软工6班,1~16,2,3,4
高等数学,21软工4班/21软工5班/21软工6班,1~16,4,7,8
大学体育,21软工1班/21软工2班/21软工3班/21软工4班/21软工5班/21软工6班,1~15,2,7,8
大学物理,21软工1班/21软工2班/21软工3班,1~18,3,1,2
大学物理,21软工1班/21软工2班/21软工3班,1~18,5,3,4
大学物理,21软工4班/21软工5班/21软工6班,1~18,3,3,4
大学物理,21软工4班/21软工5班/21软工6班,1~18,5,1,2
大学英语,21软工1班/21软工2班/21软工3班/21软工4班/21软工5班/21软工6班,1~16,4,1,2
大学英语,21软工1班/21软工2班/21软工3班/21软工4班/21软工5班/21软工6班,1~16,5,5,6
大学英语,21软工1班/21软工2班/21软工3班/21软工4班/21软工5班/21软工6班,1~16,6,1,4
大学英语,21软工1班/21软工2班/21软工3班/21软工4班/21软工5班/21软工6班,1~16,7,1,4
大学英语,20物联网1班/20物联网2班,1~16,7,1,4
操作系统,21软工5班/21软工6班,10~18,1,1,2
操作系统,21软工5班/21软工6班,7~18,1,3,4
操作系统,21软工5班/21软工6班,7~18,4,5,6
操作系统,20软工1班/20软工2班,10~18,4,7,8
操作系统,20软工1班/20软工2班,7~18,3,1,2
操作系统,20软工1班/20软工2班,7~18,1,7,8
